mass,Z,Age,EBV
8.55000,-0.9003748785718774,2.879161412962617,0.04008638923370603
8.65000,-0.7844201059745057,2.862687078871011,0.05906571561477554
8.75000,-0.7346631759475283,3.198658285263904,0.06145381479043012
8.85000,-0.8241102677864401,3.301003575975340,0.06970955595939478
8.95000,-0.6810622312441423,3.784204134619849,0.07376229891505828
9.05000,-0.6934886861009664,3.866445804867300,0.07866555129412915
9.15000,-0.6036471211919351,3.724457621329512,0.09408332714907518
9.25000,-0.6385115196668728,3.894420039411485,0.1040910457118787
9.35000,-0.5791180877237162,4.034122705906891,0.1133684973966092
9.45000,-0.4871230293257958,4.020360321398325,0.1215437807632797
9.55000,-0.4287417521812771,3.914517007800105,0.1356322998089946
9.65000,-0.3191685019754323,3.812079930047547,0.1479818151933355
9.75000,-0.2706255665924936,3.846253650504834,0.1615132606147900
9.85000,-0.2194233621811283,3.881978705002369,0.1769084171901217
9.95000,-0.1574698413651772,3.813538267660638,0.1950146980382687
10.0500,-0.1088125469165299,3.777871807884137,0.2087770542832321
10.1500,-0.06229887405267556,3.877382433086934,0.2206976944647892
10.2500,-0.006357173984894709,3.916646989183412,0.2327848303681688
10.3500,0.04580231333415084,4.071609121349305,0.2394092398705175
10.4500,0.05649945050581213,4.077201110567018,0.2464072616037244
10.5500,0.06797353517218094,4.142806156464498,0.2489852714306335
10.6500,0.07036263935338090,4.160422516379306,0.2520880774133382
10.7500,0.05950702749321386,4.223561883699612,0.2491018361675109
10.8500,0.05678475818013501,4.335620164576677,0.2446309376942945
10.9500,0.04349505474163001,4.520867770391160,0.2357179980299444
