mass,Z,Age,EBV
8.55000,-0.6922201416491622,3.291541942216400,0.03811963052972547
8.65000,-0.5319539441118160,3.058410538628212,0.05734021270568589
8.75000,-0.4935452515404413,3.281624581708850,0.06780921667687970
8.85000,-0.5263827801970395,3.221997895219904,0.07166150038317075
8.95000,-0.4563568477054485,3.885385286971847,0.07703351403318630
9.05000,-0.4570661059258675,3.958742185705966,0.08082476115611646
9.15000,-0.4082760829421073,3.925099935012412,0.09443350709417341
9.25000,-0.3527759017329739,4.004964287800267,0.1043178420796119
9.35000,-0.3056508692559828,4.212689351901592,0.1132592431969723
9.45000,-0.2626140279017080,4.217001692486404,0.1229632936565782
9.55000,-0.2142839152762080,4.162313598420099,0.1339317673364807
9.65000,-0.1887798984126762,4.105771364359745,0.1465945759765617
9.75000,-0.1430624411093970,4.081412148242612,0.1609986708247090
9.85000,-0.1046504246125073,4.043771412308931,0.1757677504226565
9.95000,-0.06598101386110376,3.922213094469436,0.1928192074994706
10.0500,-0.02828402822091489,3.899146821145021,0.2070924352734746
10.1500,0.002235926630793160,3.968535824108772,0.2180928372191236
10.2500,0.03533420188523277,4.104614792335995,0.2300045000942420
10.3500,0.04085820922290634,4.298295714361899,0.2341414482315085
10.4500,0.05343762716862116,4.290376415814265,0.2415900735292791
10.5500,0.06408461538611368,4.351898222713054,0.2449877765071466
10.6500,0.06434131060549934,4.390531034828594,0.2489887869967270
10.7500,0.05238411781319929,4.480405573180498,0.2469446968239940
10.8500,0.04006722452577283,4.548214165881727,0.2432641493917783
10.9500,0.01886824667796091,4.710229067897017,0.2348452757125144
